group,seq,event_type,stage
G1,0,navigate,S0
G1,1,help_click,S0
G1,2,agent_probe,S0
G1,3,submit,S0
G1,4,navigate,S1
G1,5,submit,S1
G1,6,navigate,S2
G1,7,submit,S2
G1,8,navigate,S3
G1,9,submit,S3
G1,10,navigate,S4
G1,11,submit,S4
G1,12,navigate,S5
G1,13,submit,S5
G1,14,navigate,S6
G1,15,submit,S6
G1,16,agent_probe,S5
G1,17,agent_probe,S5
G1,18,agent_probe,S5
G1,19,agent_probe,S5
G1,20,agent_scaffold,S5
G1,21,agent_scaffold,S5
G1,22,agent_scaffold,S5
G2,0,navigate,S0
G2,1,help_click,S0
G2,2,agent_probe,S0
G2,3,submit,S0
G2,4,navigate,S1
G2,5,help_click,S1
G2,6,agent_scaffold,S1
G2,7,submit,S1
G2,8,navigate,S2
G2,9,help_click,S2
G2,10,agent_probe,S2
G2,11,submit,S2
G2,12,navigate,S3
G2,13,help_click,S3
G2,14,agent_probe,S3
G2,15,submit,S3
G2,16,navigate,S4
G2,17,submit,S4
G2,18,navigate,S5
G2,19,submit,S5
G2,20,navigate,S6
G2,21,submit,S6
G2,22,agent_probe,S5
G2,23,agent_probe,S5
G2,24,agent_probe,S5
G2,25,agent_probe,S5
G2,26,agent_probe,S5
G2,27,agent_probe,S5
G2,28,agent_probe,S5
G2,29,agent_probe,S5
G2,30,agent_probe,S5
G2,31,agent_probe,S5
G2,32,agent_probe,S5
G2,33,agent_scaffold,S5
G2,34,agent_scaffold,S5
G2,35,agent_scaffold,S5
G3,0,navigate,S0
G3,1,help_click,S0
G3,2,agent_probe,S0
G3,3,submit,S0
G3,4,navigate,S1
G3,5,help_click,S1
G3,6,agent_scaffold,S1
G3,7,submit,S1
G3,8,navigate,S2
G3,9,help_click,S2
G3,10,agent_probe,S2
G3,11,submit,S2
G3,12,navigate,S3
G3,13,help_click,S3
G3,14,agent_scaffold,S3
G3,15,submit,S3
G3,16,navigate,S4
G3,17,help_click,S4
G3,18,agent_probe,S4
G3,19,submit,S4
G3,20,navigate,S5
G3,21,help_click,S5
G3,22,agent_scaffold,S5
G3,23,submit,S5
G3,24,navigate,S6
G3,25,submit,S6
G3,26,agent_probe,S5
G3,27,agent_probe,S5
G3,28,agent_probe,S5
G3,29,agent_probe,S5
G3,30,agent_probe,S5
G3,31,agent_probe,S5
G3,32,agent_scaffold,S5
G3,33,agent_scaffold,S5
G3,34,agent_scaffold,S5
G4,0,navigate,S0
G4,1,help_click,S0
G4,2,agent_probe,S0
G4,3,help_click,S0
G4,4,agent_scaffold,S0
G4,5,submit,S0
G4,6,navigate,S1
G4,7,help_click,S1
G4,8,agent_scaffold,S1
G4,9,help_click,S1
G4,10,agent_scaffold,S1
G4,11,submit,S1
G4,12,navigate,S2
G4,13,help_click,S2
G4,14,agent_scaffold,S2
G4,15,help_click,S2
G4,16,agent_scaffold,S2
G4,17,submit,S2
G4,18,navigate,S3
G4,19,help_click,S3
G4,20,agent_probe,S3
G4,21,help_click,S3
G4,22,agent_scaffold,S3
G4,23,submit,S3
G4,24,navigate,S4
G4,25,help_click,S4
G4,26,agent_scaffold,S4
G4,27,submit,S4
G4,28,navigate,S5
G4,29,help_click,S5
G4,30,agent_scaffold,S5
G4,31,submit,S5
G4,32,navigate,S6
G4,33,help_click,S6
G4,34,agent_scaffold,S6
G4,35,submit,S6
G4,36,agent_probe,S5
G4,37,agent_scaffold,S5
G4,38,agent_scaffold,S5
G4,39,agent_scaffold,S5
G4,40,agent_scaffold,S5
G4,41,agent_scaffold,S5
G4,42,agent_scaffold,S5
G5,0,navigate,S0
G5,1,help_click,S0
G5,2,agent_probe,S0
G5,3,submit,S0
G5,4,navigate,S1
G5,5,help_click,S1
G5,6,agent_scaffold,S1
G5,7,submit,S1
G5,8,navigate,S2
G5,9,help_click,S2
G5,10,agent_scaffold,S2
G5,11,submit,S2
G5,12,navigate,S3
G5,13,help_click,S3
G5,14,agent_probe,S3
G5,15,submit,S3
G5,16,navigate,S4
G5,17,help_click,S4
G5,18,agent_scaffold,S4
G5,19,submit,S4
G5,20,navigate,S5
G5,21,help_click,S5
G5,22,agent_scaffold,S5
G5,23,submit,S5
G5,24,navigate,S6
G5,25,help_click,S6
G5,26,agent_probe,S6
G5,27,submit,S6
G5,28,agent_probe,S5
G5,29,agent_probe,S5
G5,30,agent_probe,S5
G5,31,agent_probe,S5
G5,32,agent_probe,S5
G5,33,agent_probe,S5
